id,area,title,model,kind_label,importance,strength,complexity,benefit_kind,footprint_cells,footprint_effort,object_label,scope,benefit,next_step,objects,rules,related
F1,Usage and retirement investigations,3 modules with no consumer detected in the inspected dependency types,Caldergate FP&A,review candidate,high,partial,medium,conditional,70270848,50.78,"3 modules, 30 line items","3 modules, 30 line items",If no consumer is found: 70.3M cells as exported; 50.8% of Caldergate FP&A's measured calculation effort would no longer be held or measured. Per module in the table.,"Complete the consumer and retention checks (pages, saved views, line item subsets, integrations, access drivers, retained data) for the five largest modules, then record a keep-or-retire recommendation for each.",CAL05 Opex OLD; CAL06 Department Summary; CAL08 Cash Flow,G-UNUSED; REDUNDANT-EXACT,
F2,Maintainability and consistency,IF chain that encodes a lookup table,Caldergate FP&A,review candidate,medium,confirmed,medium,footprint,,16.04,1 object,1 line item; 1 reader,Observed effort share only; improvement would be measured after the change.,Load the table into a mapping module and replace the chain with one LOOKUP; compare values before and after.,CAL03 Opex.Forecast Opex,A-IF-COUNT,
F3,Potential capacity or performance improvements,Where measured calculation effort concentrates,Caldergate Data Hub,observation,medium,confirmed,medium,footprint,,,top 20 line items by effort share,top 20 line items by effort,Observed footprint only; no reduction is claimed.,"Read the formulas of the top five and match each against the other findings that name it (SUM with LOOKUP, IF chains, text in large modules); decide which one to trial in a development copy first.",DAT01 GL Transactions.Loaded?; CAL01 Volume Summary.Units; CAL01 Volume Summary.Revenue; CAL01 Volume Summary.Orders; DAT05 CRM Pipeline.Weighted Pipeline; CAL01 Volume Summary.Average Order Value; DAT08 Employee Master.Employee Id; DAT03 Account Master.Sign; DAT07 Customer Master.Region Code; DAT03 Account Master.Revenue?,EFFORT,
F4,Dependencies and change impact,Line items with the widest change impact,Caldergate FP&A,observation,medium,confirmed,low,none,,,1 line item,1 line item,not applicable,Include these in the change-impact check for every release that touches them.,SYS01 Time Settings.Actual?,G-HUB,
F5,Potential capacity or performance improvements,Where measured calculation effort concentrates,Caldergate FP&A,observation,medium,confirmed,medium,footprint,,,top 20 line items by effort share,top 20 line items by effort,Observed footprint only; no reduction is claimed.,"Read the formulas of the top five and match each against the other findings that name it (SUM with LOOKUP, IF chains, text in large modules); decide which one to trial in a development copy first.",CAL03 Opex.Forecast Opex; CAL03 Opex.Opex GBP; CAL05 Opex OLD.Opex GBP; CAL05 Opex OLD.Forecast; DAT01 Actuals GL.Journal Cost Centre; CAL03 Opex.Opex; CAL05 Opex OLD.Opex; CAL03 Opex.Actual Opex; CAL05 Opex OLD.Actual; CAL05 Opex OLD.Opex Cumulative,EFFORT,
F6,Potential capacity or performance improvements,Where measured calculation effort concentrates,Board Reporting,observation,medium,confirmed,medium,footprint,,,top 20 line items by effort share,top 20 line items by effort,Observed footprint only; no reduction is claimed.,"Read the formulas of the top five and match each against the other findings that name it (SUM with LOOKUP, IF chains, text in large modules); decide which one to trial in a development copy first.",CAL01 KPIs.Revenue per FTE; CAL01 KPIs.Opex Ratio; CAL01 KPIs.Revenue Growth; CAL01 KPIs.EBITDA Margin; CAL01 KPIs.FTE; CAL01 KPIs.Revenue Prior Year; CAL01 KPIs.Revenue YTD; OUT01 Board Dashboard.Revenue; OUT01 Board Dashboard.EBITDA; OUT01 Board Dashboard.Revenue per FTE,EFFORT,
F7,Usage and retirement investigations,"Calculated line items with no consumer detected, outside output modules",Caldergate FP&A,review candidate,medium,partial,medium,conditional,15126048,10.04,3 objects,5 line items in 3 modules,If no consumer is found: 15.1M cells as exported; 10.0% of Caldergate FP&A's measured calculation effort.,"Complete the consumer and retention checks (pages, saved views, subsets, integrations, retained data) for the largest module's line items, then record a keep-or-retire recommendation for each.",DAT01 Actuals GL; CAL03 Opex; CAL02 Revenue,G-UNUSED,
F8,Usage and retirement investigations,1 module with no consumer detected in the inspected dependency types,Board Reporting,review candidate,medium,partial,medium,conditional,72,2.8,"1 module, 2 line items","1 module, 2 line items",If no consumer is found: 72 cells as exported; 2.8% of Board Reporting's measured calculation effort would no longer be held or measured. Per module in the table.,"Complete the consumer and retention checks (pages, saved views, line item subsets, integrations, access drivers, retained data) for the five largest modules, then record a keep-or-retire recommendation for each.",SYS01 Time,G-UNUSED; REDUNDANT-EXACT,
F9,Maintainability and consistency,Line items that only copy another line item,Caldergate FP&A,review candidate,low,confirmed,low,footprint,268128,,14 copy line items,14 line items; 14 formulas read them,"Footprint of the copies: 268K cells. Released only for copies without a page, export or access reason.","For the largest copies, establish what shows or exports them under their own name and whether access differs, then decide which copies are interfaces to keep.",CAL07 P&L by Cost Centre.Depreciation; CAL11 Reporting Prep.Revenue; CAL11 Reporting Prep.EBITDA; CAL11 Reporting Prep.Opex; CAL11 Reporting Prep.Staff Cost; OUT01 Management Pack.Revenue; OUT01 Management Pack.EBITDA; OUT01 Management Pack.Opex; OUT01 Management Pack.Staff Cost; OUT01 Management Pack.Total Cost; OUT01 Management Pack.Depreciation; OUT01 Management Pack.Phased Drivers; OUT02 Board Pack.Revenue; OUT02 Board Pack.EBITDA,REDUNDANT-ALIAS,
F10,Dependencies and change impact,Pass-through chains,Caldergate FP&A,review candidate,low,confirmed,low,footprint,153216,,4 objects,4 chains,Footprint of the intermediates: 153K cells.,"For each chain, establish what each intermediate is for (page, export, access boundary); decide which intermediates are interfaces to keep.",OUT01 Management Pack.Opex; OUT01 Management Pack.Staff Cost; OUT02 Board Pack.Revenue; OUT02 Board Pack.EBITDA,A-DAISY,
